Datum,team1,team2,score1,something,score2,Dec,Period,Arena,Att,hej,hej2,hej3
2021-04-03,MalmöMIF,VäxjöVLH,3,-,5,Reg,1-0, 1-2, 1-3,Malmö Arena,0
2021-04-03,OskarshamnIKO,BrynäsBIF,4,-,3,Reg,1-1, 3-2, 0-0,Be-Ge Hockey Center,8
2021-04-03,ÖrebroÖRE,FärjestadFBK,2,-,3,Reg,0-1, 0-1, 2-1,Behrn Arena,0
2021-04-03,HV71HV71,LinköpingLHC,5,-,3,Reg,2-0, 1-1, 2-2,Husqvarna Garden,0
2021-04-02,FrölundaFHC,VäxjöVLH,2,-,1,Reg,1-0, 1-0, 0-1,Scandinavium,0
2021-04-01,BrynäsBIF,FärjestadFBK,1,-,4,Reg,0-0, 1-1, 0-3,Monitor ERP Arena,0
2021-03-31,FärjestadFBK,MalmöMIF,1,-,2,Reg,0-1, 0-1, 1-0,Löfbergs Arena,0
2021-03-31,BrynäsBIF,VäxjöVLH,1,-,5,Reg,0-1, 0-3, 1-1,Monitor ERP Arena,0
2021-03-29,LeksandLIF,MalmöMIF,4,-,1,Reg,2-1, 1-0, 1-0,Tegera Arena,8
2021-03-29,LinköpingLHC,LuleåLHF,1,-,7,Reg,0-0, 1-6, 0-1,Saab Arena,0
2021-03-29,VäxjöVLH,FrölundaFHC,3,-,2,Reg,1-1, 1-0, 1-1,Vida Arena,8
2021-03-29,FärjestadFBK,SkellefteåSKE,4,-,3,OT,1-0, 1-0, 1-3, 1-0,Löfbergs Arena,0
2021-03-28,ÖrebroÖRE,MalmöMIF,3,-,2,Reg,2-0, 0-1, 1-1,Behrn Arena,0
2021-03-27,DjurgårdenDIF,FärjestadFBK,3,-,5,Reg,0-1, 2-1, 1-3,Hovet,0
2021-03-27,HV71HV71,LuleåLHF,2,-,3,Reg,0-2, 2-1, 0-0,Husqvarna Garden,0
2021-03-27,RögleRBK,VäxjöVLH,4,-,1,Reg,2-0, 1-1, 1-0,Catena Arena,8
2021-03-26,SkellefteåSKE,MalmöMIF,6,-,1,Reg,1-0, 3-0, 2-1,Skellefteå Kraft Arena,0
2021-03-25,DjurgårdenDIF,LinköpingLHC,2,-,3,Reg,0-0, 1-2, 1-1,Hovet,0
2021-03-25,RögleRBK,LeksandLIF,1,-,3,Reg,1-2, 0-1, 0-0,Catena Arena,8
2021-03-25,OskarshamnIKO,HV71HV71,7,-,0,Reg,1-0, 4-0, 2-0,Be-Ge Hockey Center,8
2021-03-24,LuleåLHF,MalmöMIF,3,-,0,Reg,1-0, 1-0, 1-0,Coop Norrbotten Arena,0
2021-03-23,HV71HV71,LeksandLIF,0,-,6,Reg,0-1, 0-1, 0-4,Husqvarna Garden,0
2021-03-22,MalmöMIF,OskarshamnIKO,2,-,3,OT,0-0, 1-1, 1-1, 0-1,Malmö Arena,0
2021-03-20,BrynäsBIF,HV71HV71,2,-,1,OT,0-0, 0-1, 1-0, 1-0,Monitor ERP Arena,0
2021-03-20,SkellefteåSKE,OskarshamnIKO,3,-,1,Reg,0-0, 1-0, 2-1,Skellefteå Kraft Arena,0
2021-03-20,LeksandLIF,LuleåLHF,2,-,1,Reg,1-0, 1-0, 0-1,Tegera Arena,8
2021-03-19,MalmöMIF,RögleRBK,2,-,1,SO,0-0, 1-0, 0-1, 0-0, 1-0,Malmö Arena,8
2021-03-18,LeksandLIF,OskarshamnIKO,3,-,2,Reg,2-1, 0-0, 1-1,Tegera Arena,8
2021-03-18,DjurgårdenDIF,BrynäsBIF,4,-,1,Reg,0-0, 3-0, 1-1,Hovet,0
2021-03-16,FrölundaFHC,OskarshamnIKO,3,-,1,Reg,0-1, 0-0, 3-0,Scandinavium,0
2021-03-16,BrynäsBIF,ÖrebroÖRE,3,-,1,Reg,0-0, 1-0, 2-1,Monitor ERP Arena,0
